Column1,Column2,Column3
編　　號Cezanne044作　　者塞尚 Paul Cezanne年　　份1900 - 06原作尺寸82.1 x 66 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1751,https://www.ss.net.tw/images/product_images/popup_images/Cezanne044.jpg,彎道 The Bend in the Road
編　　號Cezanne045作　　者塞尚 Paul Cezanne年　　份1871原作尺寸41.3 x 54.3 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1559,https://www.ss.net.tw/images/product_images/popup_images/Cezanne045.jpg,磨坊景觀 Landscape with Water Mill
編　　號Cezanne046作　　者塞尚 Paul Cezanne年　　份1885 - 87原作尺寸28.3 x 30.8 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2357,https://www.ss.net.tw/images/product_images/popup_images/Cezanne046.jpg,靜物與木瓜、蘋果和梨 Still Life With Quince. Apples. and Pears
編　　號Cezanne047作　　者塞尚 Paul Cezanne年　　份1873 - 74原作尺寸26.4 x 34 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1762,https://www.ss.net.tw/images/product_images/popup_images/Cezanne047.jpg,河岸上的野餐 Picnic on a Riverbank
編　　號Cezanne048作　　者塞尚 Paul Cezanne年　　份1906原作尺寸107.4 x 74.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1567,https://www.ss.net.tw/images/product_images/popup_images/Cezanne048.jpg,園丁瓦利耶 The Gardener Vallier
編　　號Cezanne049作　　者塞尚 Paul Cezanne年　　份1875原作尺寸64 x 53 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1766,https://www.ss.net.tw/images/product_images/popup_images/Cezanne049.jpg,自畫像 Self - Portrait
編　　號Cezanne050作　　者塞尚 Paul Cezanne年　　份1879原作尺寸54.2 x 74.2 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1573,https://www.ss.net.tw/images/product_images/popup_images/Cezanne050.jpg,埃斯塔克的正午 Midday. L ’Estaque
編　　號Cezanne051作　　者塞尚 Paul Cezanne年　　份1872 - 73原作尺寸38.1 x 47 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次5859,https://www.ss.net.tw/images/product_images/popup_images/Cezanne051.jpg,奧維附近的村路 A Village Road near Auvers
編　　號Cezanne052作　　者塞尚 Paul Cezanne年　　份1886 - 87原作尺寸23.5 x 28.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2163,https://www.ss.net.tw/images/product_images/popup_images/Cezanne052.jpg,聖維克多山 Mont Sainte - Victoire
編　　號Cezanne053作　　者塞尚 Paul Cezanne年　　份1896原作尺寸80.6 x 65.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1581,https://www.ss.net.tw/images/product_images/popup_images/Cezanne053.jpg,拿念珠的老婦人 An Old Woman with a Rosary
編　　號Cezanne054作　　者塞尚 Paul Cezanne年　　份1888原作尺寸82 x 66 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1672,https://www.ss.net.tw/images/product_images/popup_images/Cezanne054.jpg,香蒂莉大道 Avenue at Chantilly
編　　號Cezanne055作　　者塞尚 Paul Cezanne年　　份1900 - 06原作尺寸127.2 x 196.1 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2072,https://www.ss.net.tw/images/product_images/popup_images/Cezanne055.jpg,沐浴者 Bathers (Les Grandes Baigneuses)
編　　號Cezanne056作　　者塞尚 Paul Cezanne年　　份1886 - 90原作尺寸63.5 x 79.4 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2271,https://www.ss.net.tw/images/product_images/popup_images/Cezanne056.jpg,普羅斯旺山坡 Hillside in Provence
編　　號Cezanne057作　　者塞尚 Paul Cezanne年　　份1885 - 87原作尺寸71 x 58 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1902,https://www.ss.net.tw/images/product_images/popup_images/Cezanne057.jpg,白楊木風景 Landscape with Poplars
編　　號Cezanne058作　　者塞尚 Paul Cezanne年　　份1880原作尺寸33.6 x 26 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1594,https://www.ss.net.tw/images/product_images/popup_images/Cezanne058.jpg,自畫像 Self Portrait
編　　號Cezanne059作　　者塞尚 Paul Cezanne年　　份1871原作尺寸38.1 x 46 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1575,https://www.ss.net.tw/images/product_images/popup_images/Cezanne059.jpg,塞尚故居的德布凡大道 The Avenue at the Jas de Bouffan
編　　號Cezanne060作　　者塞尚 Paul Cezanne年　　份1900 - 06原作尺寸90.7 x 71.4 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1748,https://www.ss.net.tw/images/product_images/popup_images/Cezanne060.jpg,黑堡地面 The Grounds of the Chateau Noir
編　　號Cezanne061作　　者塞尚 Paul Cezanne年　　份1862原作尺寸167.6 x 114.3 cm原作材質油彩．畫布 Oil on paper laid down on canvas瀏覽人次1632,https://www.ss.net.tw/images/product_images/popup_images/Cezanne061.jpg,畫家的父親 The Painter ’s Father. Louis-Auguste Cezanne
編　　號Cezanne062作　　者塞尚 Paul Cezanne年　　份1865 - 70原作尺寸41 x 30 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1773,https://www.ss.net.tw/images/product_images/popup_images/Cezanne062.jpg,畫室的暖爐 The Stove in the Studio
